ticker,date,day_of_week,Price
BTC,2022-07-01,Fri,19375.7
BTC,2022-07-02,Sat,19332
BTC,2022-07-03,Sun,19279.7
BTC,2022-07-04,Mon,19934.8
BTC,2022-07-05,Tue,20350.7
BTC,2022-07-06,Wed,20332.5
BTC,2022-07-07,Thu,21654.4
BTC,2022-07-08,Fri,21706.8
BTC,2022-07-09,Sat,21695.8
BTC,2022-07-10,Sun,21022.9
BTC,2022-07-11,Mon,20224.1
BTC,2022-07-12,Tue,19328.7
BTC,2022-07-13,Wed,19908.9
BTC,2022-07-14,Thu,20468.1
BTC,2022-07-15,Fri,20960.9
BTC,2022-07-16,Sat,21190.8
BTC,2022-07-17,Sun,21016.7
BTC,2022-07-18,Mon,21653.4
BTC,2022-07-19,Tue,23656.5
BTC,2022-07-20,Wed,23608.5
BTC,2022-07-21,Thu,23212.4
BTC,2022-07-22,Fri,22739.1
BTC,2022-07-23,Sat,22249
BTC,2022-07-24,Sun,22811.5
BTC,2022-07-25,Mon,22027
BTC,2022-07-26,Tue,20945
BTC,2022-07-27,Wed,22680.9
BTC,2022-07-28,Thu,23931.8
BTC,2022-07-29,Fri,23828.9
BTC,2022-07-30,Sat,23868.8
BTC,2022-07-31,Sun,23595.8
BTC,2022-08-01,Mon,23027.4
BTC,2022-08-02,Tue,23097.7
BTC,2022-08-03,Wed,23274.3
BTC,2022-08-04,Thu,22496
BTC,2022-08-05,Fri,23111.4
BTC,2022-08-06,Sat,23183.9
BTC,2022-08-07,Sun,23315.4
BTC,2022-08-08,Mon,23852.2
BTC,2022-08-09,Tue,23195.8
BTC,2022-08-10,Wed,23966.2
BTC,2022-08-11,Thu,24195.3
BTC,2022-08-12,Fri,24125.5
BTC,2022-08-13,Sat,24508.5
BTC,2022-08-14,Sun,24352.3
BTC,2022-08-15,Mon,24031
BTC,2022-08-16,Tue,23950.8
BTC,2022-08-17,Wed,23332.9
BTC,2022-08-18,Thu,23363.3
BTC,2022-08-19,Fri,21024.6
BTC,2022-08-20,Sat,21121.1
BTC,2022-08-21,Sun,21534.4
BTC,2022-08-22,Mon,21097.4
BTC,2022-08-23,Tue,21489.2
BTC,2022-08-24,Wed,21594.1
BTC,2022-08-25,Thu,21584.5
BTC,2022-08-26,Fri,20641.1
BTC,2022-08-27,Sat,19891.8
BTC,2022-08-28,Sun,19965.2
BTC,2022-08-29,Mon,20205.9
BTC,2022-08-30,Tue,19882.1
BTC,2022-08-31,Wed,20282
BTC,2022-09-01,Thu,20083.7
BTC,2022-09-02,Fri,19979
BTC,2022-09-03,Sat,19751.8
BTC,2022-09-04,Sun,19857.2
BTC,2022-09-05,Mon,19752.4
BTC,2022-09-06,Tue,18979.9
BTC,2022-09-07,Wed,19364.7
BTC,2022-09-08,Thu,19334.6
BTC,2022-09-09,Fri,21257.8
BTC,2022-09-10,Sat,21606.8
BTC,2022-09-11,Sun,21515
BTC,2022-09-12,Mon,22341.3
BTC,2022-09-13,Tue,20133.2
BTC,2022-09-14,Wed,20206.8
BTC,2022-09-15,Thu,19828.4
BTC,2022-09-16,Fri,19744.4
BTC,2022-09-17,Sat,20034.5
BTC,2022-09-18,Sun,19463.5
BTC,2022-09-19,Mon,19519.5
BTC,2022-09-20,Tue,18898.2
BTC,2022-09-21,Wed,18468.2
BTC,2022-09-22,Thu,19173.6
BTC,2022-09-23,Fri,19008.8
BTC,2022-09-24,Sat,18952.3
BTC,2022-09-25,Sun,18744.7
BTC,2022-09-26,Mon,19096.4
BTC,2022-09-27,Tue,18992.7
BTC,2022-09-28,Wed,19618.8
BTC,2022-09-29,Thu,19432.8
BTC,2022-09-30,Fri,19360.2
BTC,2022-10-01,Sat,19288.3
BTC,2022-10-02,Sun,19197.1
BTC,2022-10-03,Mon,19555.2
BTC,2022-10-04,Tue,20296.3
BTC,2022-10-05,Wed,20055.4
BTC,2022-10-06,Thu,19913.3
BTC,2022-10-07,Fri,19572.7
BTC,2022-10-08,Sat,19322.7
BTC,2022-10-09,Sun,19482.2
BTC,2022-10-10,Mon,19243.5
BTC,2022-10-11,Tue,19004.5
BTC,2022-10-12,Wed,19181.6
BTC,2022-10-13,Thu,19403.6
BTC,2022-10-14,Fri,19108.5
BTC,2022-10-15,Sat,19070.1
BTC,2022-10-16,Sun,19148.5
BTC,2022-10-17,Mon,19515.4
BTC,2022-10-18,Tue,19296.2
BTC,2022-10-19,Wed,19195
BTC,2022-10-20,Thu,19070.9
BTC,2022-10-21,Fri,19155.9
BTC,2022-10-22,Sat,19204.4
BTC,2022-10-23,Sun,19541
BTC,2022-10-24,Mon,19366.3
BTC,2022-10-25,Tue,20234.4
BTC,2022-10-26,Wed,20745.3
BTC,2022-10-27,Thu,20407.2
BTC,2022-10-28,Fri,20599.8
BTC,2022-10-29,Sat,20850.3
BTC,2022-10-30,Sun,20591
BTC,2022-10-31,Mon,20478.7
BTC,2022-11-01,Tue,20476.1
BTC,2022-11-02,Wed,20108
BTC,2022-11-03,Thu,20195.5
BTC,2022-11-04,Fri,21179.3
BTC,2022-11-05,Sat,21297.7
BTC,2022-11-06,Sun,21140.3
BTC,2022-11-07,Mon,20463.7
BTC,2022-11-08,Tue,18514.2
BTC,2022-11-09,Wed,16103
BTC,2022-11-10,Thu,17887.7
BTC,2022-11-11,Fri,16949.2
BTC,2022-11-12,Sat,16805.7
BTC,2022-11-13,Sun,16414
BTC,2022-11-14,Mon,16386.9
BTC,2022-11-15,Tue,16859.7
BTC,2022-11-16,Wed,16653.8
BTC,2022-11-17,Thu,16697.2
BTC,2022-11-18,Fri,16647
BTC,2022-11-19,Sat,16720.1
BTC,2022-11-20,Sun,16272.5
BTC,2022-11-21,Mon,15720.5
BTC,2022-11-22,Tue,16165.2
BTC,2022-11-23,Wed,16494.2
BTC,2022-11-24,Thu,16597.5
BTC,2022-11-25,Fri,16519.6
BTC,2022-11-26,Sat,16416.1
BTC,2022-11-27,Sun,16563.3
BTC,2022-11-28,Mon,16212.5
BTC,2022-11-29,Tue,16488.7
BTC,2022-11-30,Wed,17153.7
BTC,2022-12-01,Thu,16966.5
BTC,2022-12-02,Fri,17042.2
BTC,2022-12-03,Sat,16902.8
BTC,2022-12-04,Sun,17104.6
BTC,2022-12-05,Mon,16943.9
BTC,2022-12-06,Tue,16973.7
BTC,2022-12-07,Wed,16842.5
BTC,2022-12-08,Thu,17203.8
BTC,2022-12-09,Fri,17133.3
BTC,2022-12-10,Sat,17137.6
BTC,2022-12-11,Sun,17104.7
BTC,2022-12-12,Mon,17159.7
BTC,2022-12-13,Tue,17772
BTC,2022-12-14,Wed,17837.7
